Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
29003 Alfarnate;2900301 Alfarnate distrito 01;;Índice de Gini;2018;33,5
29003 Alfarnate;2900301 Alfarnate distrito 01;;Índice de Gini;2017;33,9
29003 Alfarnate;2900301 Alfarnate distrito 01;;Índice de Gini;2016;36
29003 Alfarnate;2900301 Alfarnate distrito 01;;Índice de Gini;2015;35
29003 Alfarnate;2900301 Alfarnate distrito 01;;Distribución de la renta P80/P20;2023;2,5
29003 Alfarnate;2900301 Alfarnate distrito 01;;Distribución de la renta P80/P20;2022;2,6
29003 Alfarnate;2900301 Alfarnate distrito 01;;Distribución de la renta P80/P20;2021;2,5
29003 Alfarnate;2900301 Alfarnate distrito 01;;Distribución de la renta P80/P20;2020;2,6
29003 Alfarnate;2900301 Alfarnate distrito 01;;Distribución de la renta P80/P20;2019;2,4
29003 Alfarnate;2900301 Alfarnate distrito 01;;Distribución de la renta P80/P20;2018;2,7
29003 Alfarnate;2900301 Alfarnate distrito 01;;Distribución de la renta P80/P20;2017;2,6
29003 Alfarnate;2900301 Alfarnate distrito 01;;Distribución de la renta P80/P20;2016;3
29003 Alfarnate;2900301 Alfarnate distrito 01;;Distribución de la renta P80/P20;2015;2,8
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Índice de Gini;2023;30,7
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Índice de Gini;2022;31,6
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Índice de Gini;2021;32,2
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Índice de Gini;2020;32,5
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Índice de Gini;2019;32,4
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Índice de Gini;2018;33,5
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Índice de Gini;2017;33,9
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Índice de Gini;2016;36
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Índice de Gini;2015;35
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Distribución de la renta P80/P20;2023;2,5
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Distribución de la renta P80/P20;2022;2,6
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Distribución de la renta P80/P20;2021;2,5
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Distribución de la renta P80/P20;2020;2,6
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Distribución de la renta P80/P20;2019;2,4
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Distribución de la renta P80/P20;2018;2,7
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Distribución de la renta P80/P20;2017;2,6
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Distribución de la renta P80/P20;2016;3
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Distribución de la renta P80/P20;2015;2,8
29004 Alfarnatejo;;;Índice de Gini;2023;28,3
29004 Alfarnatejo;;;Índice de Gini;2022;28,2
29004 Alfarnatejo;;;Índice de Gini;2021;27,1
29004 Alfarnatejo;;;Índice de Gini;2020;30,2
29004 Alfarnatejo;;;Índice de Gini;2019;29
29004 Alfarnatejo;;;Índice de Gini;2018;27
29004 Alfarnatejo;;;Índice de Gini;2017;31,3
29004 Alfarnatejo;;;Índice de Gini;2016;32,9
29004 Alfarnatejo;;;Índice de Gini;2015;31,4
29004 Alfarnatejo;;;Distribución de la renta P80/P20;2023;2,4
29004 Alfarnatejo;;;Distribución de la renta P80/P20;2022;2,7
29004 Alfarnatejo;;;Distribución de la renta P80/P20;2021;2,1
29004 Alfarnatejo;;;Distribución de la renta P80/P20;2020;2,8
29004 Alfarnatejo;;;Distribución de la renta P80/P20;2019;2,1
29004 Alfarnatejo;;;Distribución de la renta P80/P20;2018;2,1
