Municipios;Sexo;Periodo;Total
29008 Alhaurín el Grande;Total;2020;25.358
29008 Alhaurín el Grande;Total;2019;24.705
29008 Alhaurín el Grande;Total;2018;24.123
29008 Alhaurín el Grande;Total;2017;24.720
29008 Alhaurín el Grande;Total;2016;24.315
29008 Alhaurín el Grande;Total;2015;24.338
29008 Alhaurín el Grande;Hombres;2025;13.676
29008 Alhaurín el Grande;Hombres;2024;13.752
29008 Alhaurín el Grande;Hombres;2023;13.381
29008 Alhaurín el Grande;Hombres;2022;13.183
29008 Alhaurín el Grande;Hombres;2021;13.022
29008 Alhaurín el Grande;Hombres;2020;12.671
29008 Alhaurín el Grande;Hombres;2019;12.344
29008 Alhaurín el Grande;Hombres;2018;12.066
29008 Alhaurín el Grande;Hombres;2017;12.350
29008 Alhaurín el Grande;Hombres;2016;12.157
29008 Alhaurín el Grande;Hombres;2015;12.167
29008 Alhaurín el Grande;Mujeres;2025;13.876
29008 Alhaurín el Grande;Mujeres;2024;13.895
29008 Alhaurín el Grande;Mujeres;2023;13.498
29008 Alhaurín el Grande;Mujeres;2022;13.253
29008 Alhaurín el Grande;Mujeres;2021;13.073
29008 Alhaurín el Grande;Mujeres;2020;12.687
29008 Alhaurín el Grande;Mujeres;2019;12.361
29008 Alhaurín el Grande;Mujeres;2018;12.057
29008 Alhaurín el Grande;Mujeres;2017;12.370
29008 Alhaurín el Grande;Mujeres;2016;12.158
29008 Alhaurín el Grande;Mujeres;2015;12.171
29009 Almáchar;Total;2025;1.959
29009 Almáchar;Total;2024;1.927
29009 Almáchar;Total;2023;1.848
29009 Almáchar;Total;2022;1.840
29009 Almáchar;Total;2021;1.843
29009 Almáchar;Total;2020;1.817
29009 Almáchar;Total;2019;1.811
29009 Almáchar;Total;2018;1.802
29009 Almáchar;Total;2017;1.814
29009 Almáchar;Total;2016;1.835
29009 Almáchar;Total;2015;1.867
29009 Almáchar;Hombres;2025;1.000
29009 Almáchar;Hombres;2024;978
29009 Almáchar;Hombres;2023;949
29009 Almáchar;Hombres;2022;936
29009 Almáchar;Hombres;2021;940
29009 Almáchar;Hombres;2020;935
29009 Almáchar;Hombres;2019;944
29009 Almáchar;Hombres;2018;930
29009 Almáchar;Hombres;2017;936
29009 Almáchar;Hombres;2016;945
29009 Almáchar;Hombres;2015;962
29009 Almáchar;Mujeres;2025;959
29009 Almáchar;Mujeres;2024;949
29009 Almáchar;Mujeres;2023;899
29009 Almáchar;Mujeres;2022;904
29009 Almáchar;Mujeres;2021;903
29009 Almáchar;Mujeres;2020;882
29009 Almáchar;Mujeres;2019;867
29009 Almáchar;Mujeres;2018;872
29009 Almáchar;Mujeres;2017;878
29009 Almáchar;Mujeres;2016;890
29009 Almáchar;Mujeres;2015;905
29010 Almargen;Total;2025;1.876
29010 Almargen;Total;2024;1.913
29010 Almargen;Total;2023;1.924
29010 Almargen;Total;2022;1.927
29010 Almargen;Total;2021;1.944
29010 Almargen;Total;2020;1.947
29010 Almargen;Total;2019;1.954
29010 Almargen;Total;2018;1.984
29010 Almargen;Total;2017;2.004
29010 Almargen;Total;2016;2.046
29010 Almargen;Total;2015;2.081
29010 Almargen;Hombres;2025;943
29010 Almargen;Hombres;2024;964
29010 Almargen;Hombres;2023;974
29010 Almargen;Hombres;2022;976
29010 Almargen;Hombres;2021;990
29010 Almargen;Hombres;2020;992
29010 Almargen;Hombres;2019;995
29010 Almargen;Hombres;2018;1.013
29010 Almargen;Hombres;2017;1.025
29010 Almargen;Hombres;2016;1.046
