Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por persona;2020;8.669
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por persona;2019;8.525
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por persona;2018;8.565
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por persona;2017;7.697
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por persona;2016;7.226
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por persona;2015;7.281
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por hogar;2023;22.684
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por hogar;2022;20.587
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por hogar;2021;18.877
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por hogar;2020;17.190
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por hogar;2019;16.763
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por hogar;2018;17.468
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por hogar;2017;16.032
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por hogar;2016;15.433
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por hogar;2015;14.829
29005 Algarrobo;;;Renta neta media por persona;2023;10.851
29005 Algarrobo;;;Renta neta media por persona;2022;9.945
29005 Algarrobo;;;Renta neta media por persona;2021;9.426
29005 Algarrobo;;;Renta neta media por persona;2020;8.787
29005 Algarrobo;;;Renta neta media por persona;2019;8.784
29005 Algarrobo;;;Renta neta media por persona;2018;8.430
29005 Algarrobo;;;Renta neta media por persona;2017;7.834
29005 Algarrobo;;;Renta neta media por persona;2016;7.311
29005 Algarrobo;;;Renta neta media por persona;2015;7.346
29005 Algarrobo;;;Renta neta media por hogar;2023;26.764
29005 Algarrobo;;;Renta neta media por hogar;2022;24.418
29005 Algarrobo;;;Renta neta media por hogar;2021;23.100
29005 Algarrobo;;;Renta neta media por hogar;2020;21.651
29005 Algarrobo;;;Renta neta media por hogar;2019;21.682
29005 Algarrobo;;;Renta neta media por hogar;2018;20.774
29005 Algarrobo;;;Renta neta media por hogar;2017;19.376
29005 Algarrobo;;;Renta neta media por hogar;2016;18.467
29005 Algarrobo;;;Renta neta media por hogar;2015;18.272
29005 Algarrobo;2900501 Algarrobo distrito 01;;Renta neta media por persona;2023;10.851
29005 Algarrobo;2900501 Algarrobo distrito 01;;Renta neta media por persona;2022;9.945
29005 Algarrobo;2900501 Algarrobo distrito 01;;Renta neta media por persona;2021;9.426
29005 Algarrobo;2900501 Algarrobo distrito 01;;Renta neta media por persona;2020;8.787
29005 Algarrobo;2900501 Algarrobo distrito 01;;Renta neta media por persona;2019;""
29005 Algarrobo;2900501 Algarrobo distrito 01;;Renta neta media por persona;2018;""
29005 Algarrobo;2900501 Algarrobo distrito 01;;Renta neta media por persona;2017;""
29005 Algarrobo;2900501 Algarrobo distrito 01;;Renta neta media por persona;2016;""
